Numerical Aspects,,,Data (a),,Data (b),,Data (c),
Red-Black Gauss-Seidel,64,0.01,N/A,7066,N/A,3355,N/A,6897
SOR,64,0.01,1.85,206,1.89,222,1.91,190
SSOR,64,0.01,1.86,186,1.88,221,1.91,328
Point Jacobi,64,0.001,N/A,14015,N/A,9114,N/A,13793
Weighted Jacobi,64,0.001,0.95,1706,0.99,9206,1,13793
Gauss-Seidel,64,0.001,N/A,2560,N/A,4829,N/A,6896
Red-Black Gauss-Seidel,64,0.001,N/A,7008,N/A,4558,N/A,6897
SOR,64,0.001,1.87,225,1.91,190,1.91,189
SSOR,64,0.001,1.88,223,1.88,291,1.91,331
Point Jacobi,128,1,N/A,55976,N/A,16985,N/A,54346
Weighted Jacobi,128,1,0.93,823,1,16985,1,54346
Gauss-Seidel,128,1,N/A,688,N/A,9686,N/A,27172
Red-Black Gauss-Seidel,128,1,N/A,27989,N/A,8493,N/A,27174
SOR,128,1,1.73,247,1.81,1327,1.97,560
SSOR,128,1,1.64,498,1.54,1640,1.96,500
Point Jacobi,128,0.1,N/A,55976,N/A,16650,N/A,54346
Weighted Jacobi,128,0.1,0.93,1371,1,16650,1,54346
Gauss-Seidel,128,0.1,N/A,1260,N/A,9589,N/A,27172
Red-Black Gauss-Seidel,128,0.1,N/A,27989,N/A,8326,N/A,27174
SOR,128,0.1,1.75,458,1.86,989,1.96,437
SSOR,128,0.1,1.5,609,1.86,557,1.96,608
Point Jacobi,128,0.01,N/A,55672,N/A,23537,N/A,54347
Weighted Jacobi,128,0.01,0.94,2656,1,23537,1,54347
Gauss-Seidel,128,0.01,N/A,3325,N/A,12637,N/A,27173
Red-Black Gauss-Seidel,128,0.01,N/A,27837,N/A,11769,N/A,27174
SOR,128,0.01,1.78,734,1.91,728,1.96,415
SSOR,128,0.01,1.54,953,1.91,432,1.95,654
Point Jacobi,128,0.001,N/A,55217,N/A,33673,N/A,54347
Weighted Jacobi,128,0.001,0.95,4271,1,33673,1,54347
Gauss-Seidel,128,0.001,N/A,6159,N/A,17942,N/A,27173
Red-Black Gauss-Seidel,128,0.001,N/A,27609,N/A,16837,N/A,27174
SOR,128,0.001,1.83,872,1.64,4287,1.96,417
SSOR,128,0.001,1.89,481,1.52,2754,1.95,660
